iso3,1990,1995,2000,2005,2010,2015,2018
AFG,4.0,3.0,1.0,1.0,1.0,1.0,1.0
ARE,5.0,5.0,5.0,2.0,4.0,5.0,5.0
BHR,3.0,3.0,3.0,3.0,2.0,3.0,3.0
DJI,5.0,1.0,1.0,1.0,5.0,5.0,5.0
EGY,3.0,3.0,3.0,5.0,4.0,5.0,5.0
IRN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRQ,1.0,2.0,2.0,4.0,1.0,1.0,1.0
JOR,3.0,2.0,2.0,4.0,3.0,1.0,1.0
KWT,2.0,5.0,5.0,2.0,5.0,5.0,5.0
LBN,5.0,5.0,5.0,5.0,5.0,2.0,3.0
LBR,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAR,2.0,2.0,2.0,3.0,3.0,3.0,2.0
OMN,4.0,1.0,3.0,3.0,3.0,4.0,4.0
PAK,1.0,2.0,2.0,1.0,2.0,3.0,2.0
PSE,3.0,4.0,4.0,4.0,3.0,3.0,3.0
QAT,2.0,3.0,3.0,3.0,2.0,2.0,2.0
SAU,2.0,4.0,4.0,2.0,1.0,4.0,4.0
SDN,1.0,1.0,1.0,2.0,2.0,2.0,2.0
SYR,4.0,4.0,4.0,5.0,4.0,4.0,4.0
TUN,4.0,4.0,5.0,5.0,4.0,4.0,4.0
YEM,5.0,5.0,4.0,4.0,5.0,2.0,3.0
