iso3,1990,1995,2000,2005,2010,2015,2018
AFG,5.0,5.0,5.0,5.0,5.0,5.0,5.0
ARE,4.0,4.0,4.0,5.0,4.0,4.0,4.0
BHR,3.0,2.0,2.0,2.0,2.0,2.0,2.0
DJI,1.0,1.0,1.0,3.0,4.0,4.0,3.0
EGY,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IRN,4.0,4.0,4.0,4.0,4.0,5.0,5.0
IRQ,1.0,1.0,2.0,2.0,1.0,1.0,1.0
JOR,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KWT,5.0,4.0,4.0,4.0,3.0,3.0,4.0
LBN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LBR,4.0,4.0,4.0,4.0,4.0,4.0,4.0
MAR,2.0,2.0,1.0,1.0,2.0,2.0,2.0
OMN,3.0,3.0,3.0,3.0,3.0,3.0,2.0
PAK,5.0,5.0,5.0,5.0,5.0,5.0,5.0
PSE,5.0,5.0,5.0,5.0,5.0,5.0,5.0
QAT,2.0,2.0,2.0,2.0,1.0,1.0,1.0
SAU,3.0,3.0,3.0,3.0,2.0,2.0,2.0
SDN,3.0,3.0,2.0,3.0,3.0,3.0,3.0
SYR,4.0,5.0,5.0,4.0,5.0,4.0,4.0
TUN,2.0,2.0,3.0,2.0,2.0,2.0,3.0
YEM,2.0,3.0,3.0,1.0,3.0,3.0,3.0
