Country,1990,1995,2000,2005,2010,2015,2018,2020
AFG,73.0,71.5,68.0,68.0,72.0,71.0,74.0,
ARE,56.5,52.0,53.5,67.0,75.5,76.0,72.0,
BHR,67.5,69.5,68.5,67.5,72.5,72.5,73.5,
DJI,60.0,67.0,73.5,75.0,63.0,74.0,69.0,
EGY,66.5,67.5,70.0,67.0,66.0,64.0,66.0,
IRN,65.5,64.5,67.5,68.5,71.5,71.5,74.5,
IRQ,69.0,82.0,66.5,67.0,68.0,58.0,65.5,
JOR,63.0,65.0,64.0,60.0,61.0,64.0,64.0,
KWT,64.0,56.5,56.0,63.5,61.5,60.0,61.0,
LBN,75.0,78.0,79.5,74.0,78.0,86.0,88.0,
LBR,68.5,80.5,80.5,73.5,69.5,70.5,69.0,
MAR,68.5,65.0,64.0,69.5,71.0,69.5,73.5,
OMN,73.5,74.5,76.5,67.0,68.0,71.0,73.0,
PAK,59.5,56.5,57.5,57.5,56.5,58.5,58.5,
PSE,59.5,63.5,62.5,64.5,64.5,64.5,65.5,
QAT,68.5,69.5,69.5,68.5,74.5,74.5,75.5,
SAU,66.0,64.5,65.0,69.0,73.5,73.5,73.5,
SDN,76.0,77.0,76.0,75.0,77.0,79.0,79.0,
SYR,59.5,62.5,62.5,64.5,65.5,65.5,65.5,
TUN,62.0,62.5,62.5,62.5,64.5,64.5,63.5,
YEM,65.0,65.5,67.0,67.0,64.0,63.5,58.0,
