index,iso3,year,median,emissions
803,AFG,1990,68.4944443919734,79.79260299442942
1631,AFG,1995,72.7080660559418,84.7012615518694
2459,AFG,2000,79.9616163226949,93.15128493512343
3287,AFG,2005,72.771392014417,84.77503312719509
4115,AFG,2010,71.5793722739959,83.38638973059152
4943,AFG,2015,73.2348506950351,85.31493931718114
5771,AFG,2018,67.8823083221333,79.07949507986919
18191,ARE,1990,185.845280408361,216.50045941172013
19019,ARE,1995,158.069827145164,184.14344513275879
19847,ARE,2000,154.888519305438,180.43738056486998
20675,ARE,2005,113.087463872636,131.7412410384273
21503,ARE,2010,121.635198211972,141.69892415703677
22331,ARE,2015,123.729118385876,144.13823646362627
23159,ARE,2018,123.675636508563,144.07593275065048
93539,BHR,1990,108.850748858323,126.8056798825034
94367,BHR,1995,111.556008932183,129.9571726055466
95195,BHR,2000,120.381257616132,140.23814605991296
96023,BHR,2005,111.953347726589,130.42005243408985
96851,BHR,2010,116.226782862978,135.39839069622622
97679,BHR,2015,124.337692166804,144.84719448971833
98507,BHR,2018,122.365579671294,142.54978203807394
255827,DJI,1990,47.576505290262,55.42424983789072
256655,DJI,1995,58.1750578620442,67.77103365638838
257483,DJI,2000,75.8123303361909,88.31757422514558
258311,DJI,2005,63.5285203289269,74.0075497571834
259139,DJI,2010,41.4615726238794,48.30065902818831
259967,DJI,2015,69.2802770691648,80.70805877172354
260795,DJI,2018,47.7592435684704,55.6371307950896
290603,EGY,1990,42.6856172045993,49.726609762497965
291431,EGY,1995,44.5920125366672,51.947465004590455
292259,EGY,2000,48.3792164176492,56.359368165740435
293087,EGY,2005,50.0573033391813,58.31425552497927
293915,EGY,2010,52.4950746484447,61.15413721170565
294743,EGY,2015,46.4120238048615,54.067687131473406
295571,EGY,2018,45.7550815626599,53.30238226642065
452891,IRN,1990,89.6668185148538,104.45736022887895
453719,IRN,1995,67.1038175809567,78.17259229093551
454547,IRN,2000,96.8514682728774,112.82711796448852
455375,IRN,2005,120.757268868837,140.67618036875166
456203,IRN,2010,69.8980787563062,81.4277668471589
457031,IRN,2015,35.3644958059631,41.19786938915672
457859,IRN,2018,37.2610181234798,43.4072230629478
458687,IRQ,1990,176.252247490433,205.32505571397994
459515,IRQ,1995,60.4286552334746,70.39636191423624
460343,IRQ,2000,157.426774783155,183.39432128363643
461171,IRQ,2005,98.7778924998922,115.07130586774943
461999,IRQ,2010,108.83557855645,126.78800723933644
462827,IRQ,2015,87.8492512301094,102.33998522051596
463655,IRQ,2018,86.1815068388162,100.39714639187893
487667,JOR,1990,117.605829367445,137.00491092160505
488495,JOR,1995,118.412294955008,137.94440300783657
489323,JOR,2000,122.31817503712,142.49455800949295
490151,JOR,2005,121.581224078193,141.63604698989096
490979,JOR,2010,122.988159879533,143.275056851662
491807,JOR,2015,117.969234152119,137.42825932551105
492635,JOR,2018,118.194535741865,137.69072441248562
534035,KWT,1990,93.0724456156554,108.42474551995775
534863,KWT,1995,166.337435729855,193.7747957534946
535691,KWT,2000,152.306020963566,177.42889912150622
536519,KWT,2005,116.133776832217,135.29004332069118
537347,KWT,2010,124.283729578924,144.7843307729675
538175,KWT,2015,229.783333349067,267.6860941849956
539003,KWT,2018,220.541729051031,256.9200872579986
545627,LBN,1990,79.4084212918815,92.50684038397735
546455,LBN,1995,98.8230375564334,115.12389760136709
547283,LBN,2000,102.771281512091,119.72340439751042
548111,LBN,2005,99.1440817630462,115.49789804986068
548939,LBN,2010,84.6331823426157,98.59342577003017
549767,LBN,2015,94.4131187886032,109.9865627327833
550595,LBN,2018,92.3073246969213,107.53341790567846
551423,LBR,1990,30.1863368326799,35.16557309323045
552251,LBR,1995,42.9451633958139,50.0289680979534
553079,LBR,2000,39.2312657430347,45.70246302734827
553907,LBR,2005,50.02692943589,58.278871446340055
554735,LBR,2010,38.2973042681048,44.61444460712869
555563,LBR,2015,38.0519658925645,44.32863766654302
556391,LBR,2018,35.1990327695204,41.005113224852785
597791,MAR,1990,98.5412519480918,114.79563145692954
598619,MAR,1995,98.26295839728472,114.47143338491684
599447,MAR,2000,99.3088472340077,115.68984158525727
600275,MAR,2005,108.095311801574,125.92563348324364
601103,MAR,2010,126.259661056219,147.08619214744232
601931,MAR,2015,127.142899641391,148.11512093723846
602759,MAR,2018,129.692620495212,151.08541824589722
742691,OMN,1990,97.2883369845018,113.33604817009538
743519,OMN,1995,109.097944088161,127.09364996550316
744347,OMN,2000,127.615321461693,148.66546873679926
745175,OMN,2005,118.34463693537,137.8655847978593
746003,OMN,2010,151.954207262227,177.01905375013135
746831,OMN,2015,154.137754401416,179.56277698992957
747659,OMN,2018,134.097158331522,156.21648459830655
748487,PAK,1990,66.1608426475685,77.07407364228493
749315,PAK,1995,69.3007983999484,80.73196509601989
750143,PAK,2000,73.2914061029686,85.38082353965326
750971,PAK,2005,79.1023148561736,92.15024169169945
751799,PAK,2010,80.2965652499127,93.5414836878858
752627,PAK,2015,71.6654527064553,83.48666913038511
753455,PAK,2018,71.6840251944569,83.50830515028257
794855,PSE,1990,110.881668170861,129.17159933564454
795683,PSE,1995,114.439434074109,133.3162187246333
796511,PSE,2000,125.571414251304,146.2844190320566
797339,PSE,2005,120.011884778191,139.8078451723536
798167,PSE,2010,129.788497741922,151.19711044445205
798995,PSE,2015,136.001195438497,158.4345926260771
799823,PSE,2018,133.500614226578,155.52154054325203
800651,QAT,1990,101.970038676256,118.78999655590442
801479,QAT,1995,104.951517780797,122.26327063873947
802307,QAT,2000,112.265113388376,130.78324384178862
803135,QAT,2005,107.050115681884,124.70803226361076
803963,QAT,2010,109.00429126229,126.98454910600474
804791,QAT,2015,114.555870091545,133.45186086314536
805619,QAT,2018,113.612092891918,132.35240761443987
823835,SAU,1990,123.688170218641,144.09053389620584
824663,SAU,1995,88.2797430388449,102.84148665310236
825491,SAU,2000,110.322247395181,128.5199021030161
826319,SAU,2005,116.12180847103,135.2761007783264
827147,SAU,2010,101.455348162632,118.19040784205816
827975,SAU,2015,78.9500820280185,91.97289805854015
828803,SAU,2018,80.4309908030699,93.6980827360363
829631,SDN,1990,73.3976207775946,85.50455832485883
830459,SDN,1995,75.9940178539955,88.52923109901205
831287,SDN,2000,78.0512962758955,90.92585759660446
832115,SDN,2005,88.5160547021065,103.11677792521897
832943,SDN,2010,88.5734450497861,103.18363481074833
833771,SDN,2015,82.5475766070612,96.16379936839596
834599,SDN,2018,80.6509707321032,93.95434835436363
916571,SYR,1990,106.262281761177,123.79024513768314
917399,SYR,1995,108.060679709312,125.88528882736303
918227,SYR,2000,114.950980871734,133.91214516652653
919055,SYR,2005,112.119647805393,130.6137837108926
919883,SYR,2010,121.536855159188,141.58435941769605
920711,SYR,2015,124.460255028023,144.9899740948954
921539,SYR,2018,122.391639850536,142.5801408438819
968735,TUN,1990,76.8853755314792,89.5676182253967
969563,TUN,1995,89.2838703358502,104.01124474774869
970391,TUN,2000,129.059492263099,150.3478555118972
971219,TUN,2005,121.645316177468,141.71071108094137
972047,TUN,2010,150.693520219691,175.55041637992906
972875,TUN,2015,179.321639729473,208.90074420284955
973703,TUN,2018,175.205767639645,204.10595901180443
1049879,YEM,1990,84.1239806257272,98.0002312299409
1050707,YEM,1995,46.645535455332,54.33971652868902
1051535,YEM,2000,68.027766731244,79.2489468535627
1052363,YEM,2005,78.9690588570364,91.99500511550455
1053191,YEM,2010,66.4848507309989,77.45152685907718
1054019,YEM,2015,58.5892579215316,68.25355601568825
1054847,YEM,2018,98.6538677340083,114.92682321673298
